MongoDB connected: ac-uyg4akb-shard-00-02.bsthzo6.mongodb.net
🚀 Server running on http://localhost:5000
User connected: vN34qU911MRuT8JSAAAB
User disconnected: vN34qU911MRuT8JSAAAB
User connected: kOkIZqYeOgJNojiUAAAD
User disconnected: kOkIZqYeOgJNojiUAAAD
User connected: -oE8vwzL00WUT1WOAAAF
User disconnected: -oE8vwzL00WUT1WOAAAF
User connected: vmWKePL6u2x1XTqhAAAH
User disconnected: vmWKePL6u2x1XTqhAAAH
User connected: Gixztna4NFZHSQD-AAAJ
User disconnected: Gixztna4NFZHSQD-AAAJ
User connected: sFQdUbpUJJnN7ctxAAAL
User disconnected: sFQdUbpUJJnN7ctxAAAL
User connected: tIIHgdD2kvwsTTIuAAAN
User disconnected: tIIHgdD2kvwsTTIuAAAN
User connected: VcwfcqMqr46SpNU2AAAP
User disconnected: VcwfcqMqr46SpNU2AAAP
User connected: vrY6uQY9mSm4EBrSAAAS
User connected: 6tLI_OuK9nPWdIhjAAAU
User disconnected: vrY6uQY9mSm4EBrSAAAS
User disconnected: 6tLI_OuK9nPWdIhjAAAU
User connected: Ew8HuIluLkcqngKAAAAX
User disconnected: Ew8HuIluLkcqngKAAAAX
User connected: f9RNfbUdtNWQVU87AAAZ
User disconnected: f9RNfbUdtNWQVU87AAAZ
